"","Wavelength","Lens","OD"
"13548",2225,"Gi1",5
"13549",2225,"GiT1",4
"13550",2225,"GiT5",5
"13551",2225,"GiT7",5
"13552",2225,"Pi23",4
"13553",2226,"Gi1",5
"13554",2226,"GiT1",4
"13555",2226,"GiT5",5
"13556",2226,"GiT7",5
"13557",2226,"Pi23",4
"13558",2227,"Gi1",5
"13559",2227,"GiT1",4
"13560",2227,"GiT5",5
"13561",2227,"GiT7",5
"13562",2227,"Pi23",4
"13563",2228,"Gi1",5
"13564",2228,"GiT1",4
"13565",2228,"GiT5",5
"13566",2228,"GiT7",5
"13567",2228,"Pi23",4
"13568",2229,"Gi1",5
"13569",2229,"GiT1",4
"13570",2229,"GiT5",5
"13571",2229,"GiT7",5
"13572",2229,"Pi23",4
"13573",2230,"Gi1",5
"13574",2230,"GiT1",4
"13575",2230,"GiT5",5
"13576",2230,"GiT7",5
"13577",2230,"Pi23",4
"13578",2231,"Gi1",5
"13579",2231,"GiT1",4
"13580",2231,"GiT5",5
"13581",2231,"GiT7",5
"13582",2231,"Pi23",4
"13583",2232,"Gi1",5
"13584",2232,"GiT1",4
"13585",2232,"GiT5",5
"13586",2232,"GiT7",5
"13587",2232,"Pi23",4
"13588",2233,"Gi1",5
"13589",2233,"GiT1",4
"13590",2233,"GiT5",5
"13591",2233,"GiT7",5
"13592",2233,"Pi23",4
"13593",2234,"Gi1",5
"13594",2234,"GiT1",4
"13595",2234,"GiT5",5
"13596",2234,"GiT7",5
"13597",2234,"Pi23",4
"13598",2235,"Gi1",5
"13599",2235,"GiT1",4
"13600",2235,"GiT5",5
"13601",2235,"GiT7",5
"13602",2235,"Pi23",4
"13603",2236,"Gi1",5
"13604",2236,"GiT1",4
"13605",2236,"GiT5",5
"13606",2236,"GiT7",5
"13607",2236,"Pi23",4
"13608",2237,"Gi1",5
"13609",2237,"GiT1",4
"13610",2237,"GiT5",5
"13611",2237,"GiT7",5
"13612",2237,"Pi23",4
"13613",2238,"Gi1",5
"13614",2238,"GiT1",4
"13615",2238,"GiT5",5
"13616",2238,"GiT7",5
"13617",2238,"Pi23",4
"13618",2239,"Gi1",5
"13619",2239,"GiT1",4
"13620",2239,"GiT5",5
"13621",2239,"GiT7",5
"13622",2239,"Pi23",4
"13623",2240,"Gi1",5
"13624",2240,"GiT1",4
"13625",2240,"GiT5",5
"13626",2240,"GiT7",5
"13627",2240,"Pi23",4
"13628",2241,"Gi1",5
"13629",2241,"GiT1",4
"13630",2241,"GiT5",5
"13631",2241,"GiT7",5
"13632",2241,"Pi23",4
"13633",2242,"Gi1",5
"13634",2242,"GiT1",4
"13635",2242,"GiT5",5
"13636",2242,"GiT7",5
"13637",2242,"Pi23",4
"13638",2243,"Gi1",5
"13639",2243,"GiT1",4
"13640",2243,"GiT5",5
"13641",2243,"GiT7",5
"13642",2243,"Pi23",4
"13643",2244,"Gi1",5
"13644",2244,"GiT1",4
"13645",2244,"GiT5",5
"13646",2244,"GiT7",5
"13647",2244,"Pi23",4
"13648",2245,"Gi1",5
"13649",2245,"GiT1",4
"13650",2245,"GiT5",5
"13651",2245,"GiT7",5
"13652",2245,"Pi23",4
"13653",2246,"Gi1",5
"13654",2246,"GiT1",4
"13655",2246,"GiT5",5
"13656",2246,"GiT7",5
"13657",2246,"Pi23",4
"13658",2247,"Gi1",5
"13659",2247,"GiT1",4
"13660",2247,"GiT5",5
"13661",2247,"GiT7",5
"13662",2247,"Pi23",4
"13663",2248,"Gi1",5
"13664",2248,"GiT1",4
"13665",2248,"GiT5",5
"13666",2248,"GiT7",5
"13667",2248,"Pi23",4
"13668",2249,"Gi1",5
"13669",2249,"GiT1",4
"13670",2249,"GiT5",5
"13671",2249,"GiT7",5
"13672",2249,"Pi23",4
"13673",2250,"Gi1",5
"13674",2250,"GiT1",4
"13675",2250,"GiT5",5
"13676",2250,"GiT7",5
"13677",2250,"Pi23",4
"13678",2251,"Gi1",5
"13679",2251,"GiT1",4
"13680",2251,"GiT5",5
"13681",2251,"GiT7",5
"13682",2251,"Pi23",4
"13683",2252,"Gi1",5
"13684",2252,"GiT1",4
"13685",2252,"GiT5",5
"13686",2252,"GiT7",5
"13687",2252,"Pi23",4
"13688",2253,"Gi1",5
"13689",2253,"GiT1",4
"13690",2253,"GiT5",5
"13691",2253,"GiT7",5
"13692",2253,"Pi23",4
"13693",2254,"Gi1",5
"13694",2254,"GiT1",4
"13695",2254,"GiT5",5
"13696",2254,"GiT7",5
"13697",2254,"Pi23",4
"13698",2255,"Gi1",5
"13699",2255,"GiT1",4
"13700",2255,"GiT5",5
"13701",2255,"GiT7",5
"13702",2255,"Pi23",4
"13703",2256,"Gi1",5
"13704",2256,"GiT1",4
"13705",2256,"GiT5",5
"13706",2256,"GiT7",5
"13707",2256,"Pi23",4
"13708",2257,"Gi1",5
"13709",2257,"GiT1",4
"13710",2257,"GiT5",5
"13711",2257,"GiT7",5
"13712",2257,"Pi23",4
"13713",2258,"Gi1",5
"13714",2258,"GiT1",4
"13715",2258,"GiT5",5
"13716",2258,"GiT7",5
"13717",2258,"Pi23",4
"13718",2259,"Gi1",5
"13719",2259,"GiT1",4
"13720",2259,"GiT5",5
"13721",2259,"GiT7",5
"13722",2259,"Pi23",4
"13723",2260,"Gi1",5
"13724",2260,"GiT1",4
"13725",2260,"GiT5",5
"13726",2260,"GiT7",5
"13727",2260,"Pi23",4
"13728",2261,"Gi1",5
"13729",2261,"GiT1",4
"13730",2261,"GiT5",5
"13731",2261,"GiT7",5
"13732",2261,"Pi23",4
"13733",2262,"Gi1",5
"13734",2262,"GiT1",4
"13735",2262,"GiT5",5
"13736",2262,"GiT7",5
"13737",2262,"Pi23",4
"13738",2263,"Gi1",5
"13739",2263,"GiT1",4
"13740",2263,"GiT5",5
"13741",2263,"GiT7",5
"13742",2263,"Pi23",4
"13743",2264,"Gi1",5
"13744",2264,"GiT1",4
"13745",2264,"GiT5",5
"13746",2264,"GiT7",5
"13747",2264,"Pi23",4
"13748",2265,"Gi1",5
"13749",2265,"GiT1",4
"13750",2265,"GiT5",5
"13751",2265,"GiT7",5
"13752",2265,"Pi23",4
"13753",2266,"Gi1",5
"13754",2266,"GiT1",4
"13755",2266,"GiT5",5
"13756",2266,"GiT7",5
"13757",2266,"Pi23",4
"13758",2267,"Gi1",5
"13759",2267,"GiT1",4
"13760",2267,"GiT5",5
"13761",2267,"GiT7",5
"13762",2267,"Pi23",4
"13763",2268,"Gi1",5
"13764",2268,"GiT1",4
"13765",2268,"GiT5",5
"13766",2268,"GiT7",5
"13767",2268,"Pi23",4
"13768",2269,"Gi1",5
"13769",2269,"GiT1",4
"13770",2269,"GiT5",5
"13771",2269,"GiT7",5
"13772",2269,"Pi23",4
"13773",2270,"Gi1",5
"13774",2270,"GiT1",4
"13775",2270,"GiT5",5
"13776",2270,"GiT7",5
"13777",2270,"Pi23",4
"13778",2271,"Gi1",5
"13779",2271,"GiT1",4
"13780",2271,"GiT5",5
"13781",2271,"GiT7",5
"13782",2271,"Pi23",4
"13783",2272,"Gi1",5
"13784",2272,"GiT1",4
"13785",2272,"GiT5",5
"13786",2272,"GiT7",5
"13787",2272,"Pi23",4
"13788",2273,"Gi1",5
"13789",2273,"GiT1",4
"13790",2273,"GiT5",5
"13791",2273,"GiT7",5
"13792",2273,"Pi23",4
"13793",2274,"Gi1",5
"13794",2274,"GiT1",4
"13795",2274,"GiT5",5
"13796",2274,"GiT7",5
"13797",2274,"Pi23",4
"13798",2275,"Gi1",5
"13799",2275,"GiT1",4
"13800",2275,"GiT5",5
"13801",2275,"GiT7",5
"13802",2275,"Pi23",4
"13803",2276,"Gi1",5
"13804",2276,"GiT1",4
"13805",2276,"GiT5",5
"13806",2276,"GiT7",5
"13807",2276,"Pi23",4
"13808",2277,"Gi1",5
"13809",2277,"GiT1",4
"13810",2277,"GiT5",5
"13811",2277,"GiT7",5
"13812",2277,"Pi23",4
"13813",2278,"Gi1",5
"13814",2278,"GiT1",4
"13815",2278,"GiT5",5
"13816",2278,"GiT7",5
"13817",2278,"Pi23",4
"13818",2279,"Gi1",5
"13819",2279,"GiT1",4
"13820",2279,"GiT5",5
"13821",2279,"GiT7",5
"13822",2279,"Pi23",4
"13823",2280,"Gi1",5
"13824",2280,"GiT1",4
"13825",2280,"GiT5",5
"13826",2280,"GiT7",5
"13827",2280,"Pi23",4
"13828",2281,"Gi1",5
"13829",2281,"GiT1",4
"13830",2281,"GiT5",5
"13831",2281,"GiT7",5
"13832",2281,"Pi23",4
"13833",2282,"Gi1",5
"13834",2282,"GiT1",4
"13835",2282,"GiT5",5
"13836",2282,"GiT7",5
"13837",2282,"Pi23",4
"13838",2283,"Gi1",5
"13839",2283,"GiT1",4
"13840",2283,"GiT5",5
"13841",2283,"GiT7",5
"13842",2283,"Pi23",4
"13843",2284,"Gi1",5
"13844",2284,"GiT1",4
"13845",2284,"GiT5",5
"13846",2284,"GiT7",5
"13847",2284,"Pi23",4
"13848",2285,"Gi1",5
"13849",2285,"GiT1",4
"13850",2285,"GiT5",5
"13851",2285,"GiT7",5
"13852",2285,"Pi23",4
"13853",2286,"Gi1",5
"13854",2286,"GiT1",4
"13855",2286,"GiT5",5
"13856",2286,"GiT7",5
"13857",2286,"Pi23",4
"13858",2287,"Gi1",5
"13859",2287,"GiT1",4
"13860",2287,"GiT5",5
"13861",2287,"GiT7",5
"13862",2287,"Pi23",4
"13863",2288,"Gi1",5
"13864",2288,"GiT1",4
"13865",2288,"GiT5",5
"13866",2288,"GiT7",5
"13867",2288,"Pi23",4
"13868",2289,"Gi1",5
"13869",2289,"GiT1",4
"13870",2289,"GiT5",5
"13871",2289,"GiT7",5
"13872",2289,"Pi23",4
"13873",2290,"Gi1",5
"13874",2290,"GiT1",4
"13875",2290,"GiT5",5
"13876",2290,"GiT7",5
"13877",2290,"Pi23",4
"13878",2291,"Gi1",5
"13879",2291,"GiT1",4
"13880",2291,"GiT5",5
"13881",2291,"GiT7",5
"13882",2291,"Pi23",4
"13883",2292,"Gi1",5
"13884",2292,"GiT1",4
"13885",2292,"GiT5",5
"13886",2292,"GiT7",5
"13887",2292,"Pi23",4
"13888",2293,"Gi1",5
"13889",2293,"GiT1",4
"13890",2293,"GiT5",5
"13891",2293,"GiT7",5
"13892",2293,"Pi23",4
"13893",2294,"Gi1",5
"13894",2294,"GiT1",4
"13895",2294,"GiT5",5
"13896",2294,"GiT7",5
"13897",2294,"Pi23",4
"13898",2295,"Gi1",5
"13899",2295,"GiT1",4
"13900",2295,"GiT5",5
"13901",2295,"GiT7",5
"13902",2295,"Pi23",4
"13903",2296,"Gi1",5
"13904",2296,"GiT1",4
"13905",2296,"GiT5",5
"13906",2296,"GiT7",5
"13907",2296,"Pi23",4
"13908",2297,"Gi1",5
"13909",2297,"GiT1",4
"13910",2297,"GiT5",5
"13911",2297,"GiT7",5
"13912",2297,"Pi23",4
"13913",2298,"Gi1",5
"13914",2298,"GiT1",4
"13915",2298,"GiT5",5
"13916",2298,"GiT7",5
"13917",2298,"Pi23",4
"13918",2299,"Gi1",5
"13919",2299,"GiT1",4
"13920",2299,"GiT5",5
"13921",2299,"GiT7",5
"13922",2299,"Pi23",4
"13923",2300,"Gi1",5
"13924",2300,"GiT1",4
"13925",2300,"GiT5",5
"13926",2300,"GiT7",5
"13927",2300,"Pi23",4
"13928",2301,"Gi1",5
"13929",2301,"GiT1",4
"13930",2301,"GiT5",5
"13931",2301,"GiT7",5
"13932",2301,"Pi23",4
"13933",2302,"Gi1",5
"13934",2302,"GiT1",4
"13935",2302,"GiT5",5
"13936",2302,"GiT7",5
"13937",2302,"Pi23",4
"13938",2303,"Gi1",5
"13939",2303,"GiT1",4
"13940",2303,"GiT5",5
"13941",2303,"GiT7",5
"13942",2303,"Pi23",4
"13943",2304,"Gi1",5
"13944",2304,"GiT1",4
"13945",2304,"GiT5",5
"13946",2304,"GiT7",5
"13947",2304,"Pi23",4
"13948",2305,"Gi1",5
"13949",2305,"GiT1",4
"13950",2305,"GiT5",5
"13951",2305,"GiT7",5
"13952",2305,"Pi23",4
"13953",2306,"Gi1",5
"13954",2306,"GiT1",4
"13955",2306,"GiT5",5
"13956",2306,"GiT7",5
"13957",2306,"Pi23",4
"13958",2307,"Gi1",5
"13959",2307,"GiT1",4
"13960",2307,"GiT5",5
"13961",2307,"GiT7",5
"13962",2307,"Pi23",4
"13963",2308,"Gi1",5
"13964",2308,"GiT1",4
"13965",2308,"GiT5",5
"13966",2308,"GiT7",5
"13967",2308,"Pi23",4
"13968",2309,"Gi1",5
"13969",2309,"GiT1",4
"13970",2309,"GiT5",5
"13971",2309,"GiT7",5
"13972",2309,"Pi23",4
"13973",2310,"Gi1",5
"13974",2310,"GiT1",4
"13975",2310,"GiT5",5
"13976",2310,"GiT7",5
"13977",2310,"Pi23",4
"13978",2311,"Gi1",5
"13979",2311,"GiT1",4
"13980",2311,"GiT5",5
"13981",2311,"GiT7",5
"13982",2311,"Pi23",4
"13983",2312,"Gi1",5
"13984",2312,"GiT1",4
"13985",2312,"GiT5",5
"13986",2312,"GiT7",5
"13987",2312,"Pi23",4
"13988",2313,"Gi1",5
"13989",2313,"GiT1",4
"13990",2313,"GiT5",5
"13991",2313,"GiT7",5
"13992",2313,"Pi23",4
"13993",2314,"Gi1",5
"13994",2314,"GiT1",4
"13995",2314,"GiT5",5
"13996",2314,"GiT7",5
"13997",2314,"Pi23",4
"13998",2315,"Gi1",5
"13999",2315,"GiT1",4
"14000",2315,"GiT5",5
"14001",2315,"GiT7",5
"14002",2315,"Pi23",4
"14003",2316,"Gi1",5
"14004",2316,"GiT1",4
"14005",2316,"GiT5",5
"14006",2316,"GiT7",5
"14007",2316,"Pi23",4
"14008",2317,"Gi1",5
"14009",2317,"GiT1",4
"14010",2317,"GiT5",5
"14011",2317,"GiT7",5
"14012",2317,"Pi23",4
"14013",2318,"Gi1",5
"14014",2318,"GiT1",4
"14015",2318,"GiT5",5
"14016",2318,"GiT7",5
"14017",2318,"Pi23",4
"14018",2319,"Gi1",5
"14019",2319,"GiT1",4
"14020",2319,"GiT5",5
"14021",2319,"GiT7",5
"14022",2319,"Pi23",4
"14023",2320,"Gi1",5
"14024",2320,"GiT1",4
"14025",2320,"GiT5",5
"14026",2320,"GiT7",5
"14027",2320,"Pi23",4
"14028",2321,"Gi1",5
"14029",2321,"GiT1",4
"14030",2321,"GiT5",5
"14031",2321,"GiT7",5
"14032",2321,"Pi23",4
"14033",2322,"Gi1",5
"14034",2322,"GiT1",4
"14035",2322,"GiT5",5
"14036",2322,"GiT7",5
"14037",2322,"Pi23",4
"14038",2323,"Gi1",5
"14039",2323,"GiT1",4
"14040",2323,"GiT5",5
"14041",2323,"GiT7",5
"14042",2323,"Pi23",4
"14043",2324,"Gi1",5
"14044",2324,"GiT1",4
"14045",2324,"GiT5",5
"14046",2324,"GiT7",5
"14047",2324,"Pi23",4
"14048",2325,"Gi1",5
"14049",2325,"GiT1",4
"14050",2325,"GiT5",5
"14051",2325,"GiT7",5
"14052",2325,"Pi23",4
"14053",2326,"Gi1",5
"14054",2326,"GiT1",4
"14055",2326,"GiT5",5
"14056",2326,"GiT7",5
"14057",2326,"Pi23",4
"14058",2327,"Gi1",5
"14059",2327,"GiT1",4
"14060",2327,"GiT5",5
"14061",2327,"GiT7",5
"14062",2327,"Pi23",4
"14063",2328,"Gi1",5
"14064",2328,"GiT1",4
"14065",2328,"GiT5",5
"14066",2328,"GiT7",5
"14067",2328,"Pi23",4
"14068",2329,"Gi1",5
"14069",2329,"GiT1",4
"14070",2329,"GiT5",5
"14071",2329,"GiT7",5
"14072",2329,"Pi23",4
"14073",2330,"Gi1",5
"14074",2330,"GiT1",4
"14075",2330,"GiT5",5
"14076",2330,"GiT7",5
"14077",2330,"Pi23",4
"14078",2331,"Gi1",5
"14079",2331,"GiT1",4
"14080",2331,"GiT5",5
"14081",2331,"GiT7",5
"14082",2331,"Pi23",4
"14083",2332,"Gi1",5
"14084",2332,"GiT1",4
"14085",2332,"GiT5",5
"14086",2332,"GiT7",5
"14087",2332,"Pi23",4
"14088",2333,"Gi1",5
"14089",2333,"GiT1",4
"14090",2333,"GiT5",5
"14091",2333,"GiT7",5
"14092",2333,"Pi23",4
"14093",2334,"Gi1",5
"14094",2334,"GiT1",4
"14095",2334,"GiT5",5
"14096",2334,"GiT7",5
"14097",2334,"Pi23",4
"14098",2335,"Gi1",5
"14099",2335,"GiT1",4
"14100",2335,"GiT5",5
"14101",2335,"GiT7",5
"14102",2335,"Pi23",4
"14103",2336,"Gi1",5
"14104",2336,"GiT1",4
"14105",2336,"GiT5",5
"14106",2336,"GiT7",5
"14107",2336,"Pi23",4
"14108",2337,"Gi1",5
"14109",2337,"GiT1",4
"14110",2337,"GiT5",5
"14111",2337,"GiT7",5
"14112",2337,"Pi23",4
"14113",2338,"Gi1",5
"14114",2338,"GiT1",4
"14115",2338,"GiT5",5
"14116",2338,"GiT7",5
"14117",2338,"Pi23",4
"14118",2339,"Gi1",5
"14119",2339,"GiT1",4
"14120",2339,"GiT5",5
"14121",2339,"GiT7",5
"14122",2339,"Pi23",4
"14123",2340,"Gi1",5
"14124",2340,"GiT1",4
"14125",2340,"GiT5",5
"14126",2340,"GiT7",5
"14127",2340,"Pi23",4
"14128",2341,"Gi1",5
"14129",2341,"GiT1",4
"14130",2341,"GiT5",5
"14131",2341,"GiT7",5
"14132",2341,"Pi23",4
"14133",2342,"Gi1",5
"14134",2342,"GiT1",4
"14135",2342,"GiT5",5
"14136",2342,"GiT7",5
"14137",2342,"Pi23",4
"14138",2343,"Gi1",5
"14139",2343,"GiT1",4
"14140",2343,"GiT5",5
"14141",2343,"GiT7",5
"14142",2343,"Pi23",4
"14143",2344,"Gi1",5
"14144",2344,"GiT1",4
"14145",2344,"GiT5",5
"14146",2344,"GiT7",5
"14147",2344,"Pi23",4
"14148",2345,"Gi1",5
"14149",2345,"GiT1",4
"14150",2345,"GiT5",5
"14151",2345,"GiT7",5
"14152",2345,"Pi23",4
"14153",2346,"Gi1",5
"14154",2346,"GiT1",4
"14155",2346,"GiT5",5
"14156",2346,"GiT7",5
"14157",2346,"Pi23",4
"14158",2347,"Gi1",5
"14159",2347,"GiT1",4
"14160",2347,"GiT5",5
"14161",2347,"GiT7",5
"14162",2347,"Pi23",4
"14163",2348,"Gi1",5
"14164",2348,"GiT1",4
"14165",2348,"GiT5",5
"14166",2348,"GiT7",5
"14167",2348,"Pi23",4
"14168",2349,"Gi1",5
"14169",2349,"GiT1",4
"14170",2349,"GiT5",5
"14171",2349,"GiT7",5
"14172",2349,"Pi23",4
"14173",2350,"Gi1",5
"14174",2350,"GiT1",4
"14175",2350,"GiT5",5
"14176",2350,"GiT7",5
"14177",2350,"Pi23",4
"14178",2351,"Gi1",5
"14179",2351,"GiT1",4
"14180",2351,"GiT5",5
"14181",2351,"GiT7",5
"14182",2351,"Pi23",4
"14183",2352,"Gi1",5
"14184",2352,"GiT1",4
"14185",2352,"GiT5",5
"14186",2352,"GiT7",5
"14187",2352,"Pi23",4
"14188",2353,"Gi1",5
"14189",2353,"GiT1",4
"14190",2353,"GiT5",5
"14191",2353,"GiT7",5
"14192",2353,"Pi23",4
"14193",2354,"Gi1",5
"14194",2354,"GiT1",4
"14195",2354,"GiT5",5
"14196",2354,"GiT7",5
"14197",2354,"Pi23",4
"14198",2355,"Gi1",5
"14199",2355,"GiT1",4
"14200",2355,"GiT5",5
"14201",2355,"GiT7",5
"14202",2355,"Pi23",4
"14203",2356,"Gi1",5
"14204",2356,"GiT1",4
"14205",2356,"GiT5",5
"14206",2356,"GiT7",5
"14207",2356,"Pi23",4
"14208",2357,"Gi1",5
"14209",2357,"GiT1",4
"14210",2357,"GiT5",5
"14211",2357,"GiT7",5
"14212",2357,"Pi23",4
"14213",2358,"Gi1",5
"14214",2358,"GiT1",4
"14215",2358,"GiT5",5
"14216",2358,"GiT7",5
"14217",2358,"Pi23",4
"14218",2359,"Gi1",5
"14219",2359,"GiT1",4
"14220",2359,"GiT5",5
"14221",2359,"GiT7",5
"14222",2359,"Pi23",4
"14223",2360,"Gi1",5
"14224",2360,"GiT1",4
"14225",2360,"GiT5",5
"14226",2360,"GiT7",5
"14227",2360,"Pi23",4
"14228",2361,"Gi1",5
"14229",2361,"GiT1",4
"14230",2361,"GiT5",5
"14231",2361,"GiT7",5
"14232",2361,"Pi23",4
"14233",2362,"Gi1",5
"14234",2362,"GiT1",4
"14235",2362,"GiT5",5
"14236",2362,"GiT7",5
"14237",2362,"Pi23",4
"14238",2363,"Gi1",5
"14239",2363,"GiT1",4
"14240",2363,"GiT5",5
"14241",2363,"GiT7",5
"14242",2363,"Pi23",4
"14243",2364,"Gi1",5
"14244",2364,"GiT1",4
"14245",2364,"GiT5",5
"14246",2364,"GiT7",5
"14247",2364,"Pi23",4
"14248",2365,"Gi1",5
"14249",2365,"GiT1",4
"14250",2365,"GiT5",5
"14251",2365,"GiT7",5
"14252",2365,"Pi23",4
"14253",2366,"Gi1",5
"14254",2366,"GiT1",4
"14255",2366,"GiT5",5
"14256",2366,"GiT7",5
"14257",2366,"Pi23",4
"14258",2367,"Gi1",5
"14259",2367,"GiT1",4
"14260",2367,"GiT5",5
"14261",2367,"GiT7",5
"14262",2367,"Pi23",4
"14263",2368,"Gi1",5
"14264",2368,"GiT1",4
"14265",2368,"GiT5",5
"14266",2368,"GiT7",5
"14267",2368,"Pi23",4
"14268",2369,"Gi1",5
"14269",2369,"GiT1",4
"14270",2369,"GiT5",5
"14271",2369,"GiT7",5
"14272",2369,"Pi23",4
"14273",2370,"Gi1",5
"14274",2370,"GiT1",4
"14275",2370,"GiT5",5
"14276",2370,"GiT7",5
"14277",2370,"Pi23",4
"14278",2371,"Gi1",5
"14279",2371,"GiT1",4
"14280",2371,"GiT5",5
"14281",2371,"GiT7",5
"14282",2371,"Pi23",4
"14283",2372,"Gi1",5
"14284",2372,"GiT1",4
"14285",2372,"GiT5",5
"14286",2372,"GiT7",5
"14287",2372,"Pi23",4
"14288",2373,"Gi1",5
"14289",2373,"GiT1",4
"14290",2373,"GiT5",5
"14291",2373,"GiT7",5
"14292",2373,"Pi23",4
"14293",2374,"Gi1",5
"14294",2374,"GiT1",4
"14295",2374,"GiT5",5
"14296",2374,"GiT7",5
"14297",2374,"Pi23",4
"14298",2375,"Gi1",5
"14299",2375,"GiT1",4
"14300",2375,"GiT5",5
"14301",2375,"GiT7",5
"14302",2375,"Pi23",4
"14303",2376,"Gi1",5
"14304",2376,"GiT1",4
"14305",2376,"GiT5",5
"14306",2376,"GiT7",5
"14307",2376,"Pi23",4
"14308",2377,"Gi1",5
"14309",2377,"GiT1",4
"14310",2377,"GiT5",5
"14311",2377,"GiT7",5
"14312",2377,"Pi23",4
"14313",2378,"Gi1",5
"14314",2378,"GiT1",4
"14315",2378,"GiT5",5
"14316",2378,"GiT7",5
"14317",2378,"Pi23",4
"14318",2379,"Gi1",5
"14319",2379,"GiT1",4
"14320",2379,"GiT5",5
"14321",2379,"GiT7",5
"14322",2379,"Pi23",4
"14323",2380,"Gi1",5
"14324",2380,"GiT1",4
"14325",2380,"GiT5",5
"14326",2380,"GiT7",5
"14327",2380,"Pi23",4
"14328",2381,"Gi1",5
"14329",2381,"GiT1",4
"14330",2381,"GiT5",5
"14331",2381,"GiT7",5
"14332",2381,"Pi23",4
"14333",2382,"Gi1",5
"14334",2382,"GiT1",4
"14335",2382,"GiT5",5
"14336",2382,"GiT7",5
"14337",2382,"Pi23",4
"14338",2383,"Gi1",5
"14339",2383,"GiT1",4
"14340",2383,"GiT5",5
"14341",2383,"GiT7",5
"14342",2383,"Pi23",4
"14343",2384,"Gi1",5
"14344",2384,"GiT1",4
"14345",2384,"GiT5",5
"14346",2384,"GiT7",5
"14347",2384,"Pi23",4
"14348",2385,"Gi1",5
"14349",2385,"GiT1",4
"14350",2385,"GiT5",5
"14351",2385,"GiT7",5
"14352",2385,"Pi23",4
"14353",2386,"Gi1",5
"14354",2386,"GiT1",4
"14355",2386,"GiT5",5
"14356",2386,"GiT7",5
"14357",2386,"Pi23",4
"14358",2387,"Gi1",5
"14359",2387,"GiT1",4
"14360",2387,"GiT5",5
"14361",2387,"GiT7",5
"14362",2387,"Pi23",4
"14363",2388,"Gi1",5
"14364",2388,"GiT1",4
"14365",2388,"GiT5",5
"14366",2388,"GiT7",5
"14367",2388,"Pi23",4
"14368",2389,"Gi1",5
"14369",2389,"GiT1",4
"14370",2389,"GiT5",5
"14371",2389,"GiT7",5
"14372",2389,"Pi23",4
"14373",2390,"Gi1",5
"14374",2390,"GiT1",4
"14375",2390,"GiT5",5
"14376",2390,"GiT7",5
"14377",2390,"Pi23",4
"14378",2391,"Gi1",5
"14379",2391,"GiT1",4
"14380",2391,"GiT5",5
"14381",2391,"GiT7",5
"14382",2391,"Pi23",4
"14383",2392,"Gi1",5
"14384",2392,"GiT1",4
"14385",2392,"GiT5",5
"14386",2392,"GiT7",5
"14387",2392,"Pi23",4
"14388",2393,"Gi1",5
"14389",2393,"GiT1",4
"14390",2393,"GiT5",5
"14391",2393,"GiT7",5
"14392",2393,"Pi23",4
"14393",2394,"Gi1",5
"14394",2394,"GiT1",4
"14395",2394,"GiT5",5
"14396",2394,"GiT7",5
"14397",2394,"Pi23",4
"14398",2395,"Gi1",5
"14399",2395,"GiT1",4
"14400",2395,"GiT5",5
"14401",2395,"GiT7",5
"14402",2395,"Pi23",4
"14403",2396,"Gi1",5
"14404",2396,"GiT1",4
"14405",2396,"GiT5",5
"14406",2396,"GiT7",5
"14407",2396,"Pi23",4
"14408",2397,"Gi1",5
"14409",2397,"GiT1",4
"14410",2397,"GiT5",5
"14411",2397,"GiT7",5
"14412",2397,"Pi23",4
"14413",2398,"Gi1",5
"14414",2398,"GiT1",4
"14415",2398,"GiT5",5
"14416",2398,"GiT7",5
"14417",2398,"Pi23",4
"14418",2399,"Gi1",5
"14419",2399,"GiT1",4
"14420",2399,"GiT5",5
"14421",2399,"GiT7",5
"14422",2399,"Pi23",4
"14423",2400,"Gi1",5
"14424",2400,"GiT1",4
"14425",2400,"GiT5",5
"14426",2400,"GiT7",5
"14427",2400,"Pi23",4
"14428",2401,"Pi23",4
"14429",2402,"Pi23",4
"14430",2403,"Pi23",4
"14431",2404,"Pi23",4
"14432",2405,"Pi23",4
"14433",2406,"Pi23",4
"14434",2407,"Pi23",4
"14435",2408,"Pi23",4
"14436",2409,"Pi23",4
"14437",2410,"Pi23",4
"14438",2411,"Pi23",4
"14439",2412,"Pi23",4
"14440",2413,"Pi23",4
"14441",2414,"Pi23",4
"14442",2415,"Pi23",4
"14443",2416,"Pi23",4
"14444",2417,"Pi23",4
"14445",2418,"Pi23",4
"14446",2419,"Pi23",4
"14447",2420,"Pi23",4
"14448",2421,"Pi23",4
"14449",2422,"Pi23",4
"14450",2423,"Pi23",4
"14451",2424,"Pi23",4
"14452",2425,"Pi23",4
"14453",2426,"Pi23",4
"14454",2427,"Pi23",4
"14455",2428,"Pi23",4
"14456",2429,"Pi23",4
"14457",2430,"Pi23",4
"14458",2431,"Pi23",4
"14459",2432,"Pi23",4
"14460",2433,"Pi23",4
"14461",2434,"Pi23",4
"14462",2435,"Pi23",4
"14463",2436,"Pi23",4
"14464",2437,"Pi23",4
"14465",2438,"Pi23",4
"14466",2439,"Pi23",4
"14467",2440,"Pi23",4
"14468",2441,"Pi23",4
"14469",2442,"Pi23",4
"14470",2443,"Pi23",4
"14471",2444,"Pi23",4
"14472",2445,"Pi23",4
"14473",2446,"Pi23",4
"14474",2447,"Pi23",4
"14475",2448,"Pi23",4
"14476",2449,"Pi23",4
"14477",2450,"Pi23",4
"14478",2451,"Pi23",4
"14479",2452,"Pi23",4
